Timestamp,Boost Pressure [hPa],Ambient Air Pressure [hPa],Propeller Speed [rpm],Engine Oil Pressure [hPa],Rail Pressure [bar],Power Lever Position [%],Coolant Temperature [deg C],Intake Air Temperature [deg C],Battery Voltage [V],Fuel Pressure [hPa],Gearbox Oil Temperature [deg C],Engine Oil Temperature [deg C],Prop Actuator Duty Cycle [%],Engine Status [bin],Engine Oil Level [mm],Engine Load [%]
2024-07-26 17:06:40,1048,1025,875,2421,551.6,22.8,79.8,47.6,27.3,4651,66.4,88.8,0.0,244,36,6.4
2024-07-26 17:06:41,1054,1025,979,2610,621.9,29.9,80.0,47.6,27.4,4578,66.4,88.8,0.0,244,35,11.7
2024-07-26 17:06:42,1063,1025,1060,2933,632.9,29.9,79.8,47.6,27.4,4493,66.4,88.8,0.0,244,35,12.5
2024-07-26 17:06:43,1069,1025,1104,3226,652.7,29.9,79.8,47.6,27.3,4481,66.4,88.8,0.0,244,35,12.9
2024-07-26 17:06:44,1075,1025,1108,3354,641.7,29.9,79.8,47.6,27.2,4554,66.6,88.8,0.0,244,35,12.9
2024-07-26 17:06:45,1073,1025,1002,3275,573.6,23.1,79.8,47.6,27.4,4517,66.6,88.8,0.0,244,35,7.6
2024-07-26 17:06:46,1061,1025,945,2983,575.8,23.1,79.8,47.4,27.3,4578,66.6,88.8,0.0,244,34,7.3
2024-07-26 17:06:47,1059,1025,1004,2939,630.7,30.7,79.8,47.4,27.3,4566,66.6,88.8,0.0,244,33,12.4
2024-07-26 17:06:48,1069,1025,1110,3230,650.5,30.2,79.8,47.4,27.3,4615,66.6,88.8,0.0,244,33,13.3
2024-07-26 17:06:49,1075,1025,1100,3313,637.3,29.1,79.8,47.4,27.0,4554,66.6,88.8,0.0,244,33,12.2
2024-07-26 17:06:50,1075,1025,1106,3337,641.7,29.1,79.8,47.4,27.2,4566,66.6,88.8,0.0,244,33,12.3
2024-07-26 17:06:51,1075,1025,1118,3382,637.3,29.1,79.8,47.2,27.0,4639,66.7,88.8,0.0,244,33,12.4
2024-07-26 17:06:52,1078,1025,1126,3454,650.5,31.5,79.8,47.2,27.3,4542,66.7,88.8,0.0,244,33,13.6
2024-07-26 17:06:53,1091,1025,1213,3588,685.7,31.6,79.8,47.2,27.4,4529,66.7,88.8,0.0,244,33,15.5
2024-07-26 17:06:54,1089,1025,1115,3604,615.3,26.2,79.8,47.2,27.3,4529,66.7,88.8,0.0,244,33,10.3
